Key,Version,Directory,Name,Path,Author,Owner,Year,License,Summary,AutoGenerateREADME,UpdateLegal
2 Cylinder Engine,0,2CylinderEngine,2 Cylinder Engine,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/2CylinderEngine,Khronos,Unknown,2017,Khronos-Archive,"Small CAD data set, including hierarchy.",FALSE,TRUE
A Beautiful Game,1,ABeautifulGame,A Beautiful Game,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/ABeautifulGame,"MaterialX Project, Ed Mackey","ASWF, original model
Ed Mackey, conversion",2021,CC-BY 4.0,Chess set using transmission and volume.,FALSE,FALSE
Alpha Blend Mode Test,1,AlphaBlendModeTest,Alpha Blend Mode Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AlphaBlendModeTest,Ed Mackey,"Analytical Graphics, Inc.",2018,CC-BY 4.0,Tests alpha modes and settings.,FALSE,TRUE
Animated Cube,1,AnimatedCube,Animated Cube,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedCube,Norbert Nopper,UX3D,2017,CC0,Same as previous cube having a linear rotation animation.,TRUE,TRUE
Animated Morph Cube,1,AnimatedMorphCube,Animated Morph Cube,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedMorphCube,Microsoft,Microsoft,,CC0,Demonstrates a simple cube with two simple morph targets and an animation that transitions between them both.,FALSE,TRUE
Animated Morph Sphere,1,AnimatedMorphSphere,Animated Morph Sphere,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedMorphSphere,Microsoft,Microsoft,,CC0,"This sample is similar to the Animated Morph Cube, but the two morph targets move many more vertices and are more extreme than with the cube.",FALSE,TRUE
AnimatedTriangle,1,AnimatedTriangle,AnimatedTriangle,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedTriangle,Unknown,Public,2017,CC0,"This sample is similar to the Triangle, but the node has a rotation property that is modified with a simple animation",FALSE,TRUE
Antique Camera,1,AntiqueCamera,Antique Camera,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AntiqueCamera,Maximillan Kamps,UX3D,2018,CC0, ,TRUE,
Attenuation Test,1,AttenuationTest,Attenuation Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AttenuationTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,"Tests the interactions between attenuation, thickness, and scale.",FALSE,
Avocado,1,Avocado,Avocado,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Avocado,Microsoft,,,CC0, ,TRUE,TRUE
Barramundi Fish,1,BarramundiFish,Barramundi Fish,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BarramundiFish,Microsoft,,,CC0, ,TRUE,TRUE
Boom Box,1,BoomBox,Boom Box,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoomBox,Microsoft,,,CC0, ,TRUE,TRUE
Boom Box with Axes,1,BoomBoxWithAxes,Boom Box with Axes,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoomBoxWithAxes,Microsoft,,,CC0,"Shows X, Y, and Z axis default orientations.",TRUE,TRUE
Box,1,Box,Box,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Box,Cesium,Cesium,2017,CC-BY 4.0,One mesh and one material. Start with this.,TRUE,TRUE
Box With Spaces,1,Box With Spaces,Box With Spaces,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Box%20With%20Spaces,Ed Mackey,"Analytical Graphics, Inc.",,CC0,Box with URI-encoded spaces in the texture names used by a simple PBR material.,FALSE,TRUE
Box Animated,1,BoxAnimated,Box Animated,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxAnimated,Cesium,Cesium,2017,CC-BY 4.0,Rotation and Translation Animations. Start with this to test animations.,FALSE,TRUE
Box with interleaved position and normal attributes,1,BoxInterleaved,Box with interleaved position and normal attributes,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxInterleaved,Cesium,Cesium,2017,CC-BY 4.0,Box example with interleaved position and normal attributes.,TRUE,TRUE
Box Textured,1,BoxTextured,Box Textured,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxTextured,Cesium,Cesium,2017,CC-BY 4.0 and TM,Box with one texture. Start with this to test textures.,FALSE,
Box Textured,1,BoxTexturedNonPowerOfTwo,Box Textured,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxTexturedNonPowerOfTwo,Cesium,Cesium,2017,CC-BY 4.0 and TM,Box with a non-power-of-2 (NPOT) texture. Not all implementations support NPOT textures.,FALSE,
Box Vertex Colors,0,BoxVertexColors,Box Vertex Colors,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxVertexColors,Michael Feldstein,Unknown,2017,Unknown,Box with vertex colors applied.,TRUE,TRUE
Box With Spaces II,0,Box With Spaces,Box With Spaces II,,Ed Mackey,"Analytical Graphics, Inc.",2021,CC0,Box with URI-encoded spaces in the texture names used by a simple PBR material.,FALSE,TRUE
BrainStem,0,BrainStem,BrainStem,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BrainStem,Keith Hunter,"Smith Micro Software, Inc.",2017,Khronos-Archive,Animations. Skins.,FALSE,
Buggy,1,Buggy,Buggy,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Buggy,Khronos,Unknown,2017,Khronos-Archive,"Medium-sized CAD data set, including hierarchy",TRUE,TRUE
Cameras,1,Cameras,Cameras,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Cameras,Unknown,Public,2017,CC0,A sample with two different camera objects,FALSE,TRUE
