Name,core,issues,showcase,testing,video,written
2 Cylinder Engine,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
A Beautiful Game,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Alpha Blend Mode Test,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Animated Cube,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Animated Morph Cube,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Animated Morph Sphere,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
AnimatedTriangle,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Antique Camera,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Attenuation Test,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Avocado,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Barramundi Fish,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Boom Box,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Boom Box with Axes,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Box,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Box With Spaces,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Box Animated,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Box with interleaved position and normal attributes,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Box Textured,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Box Textured,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Box Vertex Colors,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BrainStem,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Buggy,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Cameras,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cesium Man,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Cesium Milk Truck,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
KHR_materials_clearcoat Test,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Corset,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Cube,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Damaged Helmet,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Dragon Attenuation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Duck,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Emissive Strength Test,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Environment Test,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flight Helmet,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fox,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Gearbox Assy,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
GlamVelvetSofa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Interpolation Test,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Iridescence Dielectric Spheres,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Iridescence Lamp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Iridescence Metallic Spheres,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Iridescence Suzanne,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Iridescent Dish with Olives,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Lantern,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Lamp using KHR_lights_punctual Extension,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Metal-Rough Spheres,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Metal-Rough Spheres (textureless),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
